timestamp,experiment,name,size,amount,warmup,duration

2025-05-13T23:51:01.559319100+00:00,e1,io,1000000,15,5,"[391, 384, 379, 392, 381, 383, 381, 381, 383, 386, 382, 385, 384, 391, 387]",384,384
2025-05-13T23:51:07.570670700+00:00,e1,native opt,1000000,15,5,"[394, 395, 399, 401, 398, 406, 406, 397, 404, 403, 398, 402, 398, 400, 401]",400,401
2025-05-13T23:51:15.243700+00:00,e1,wasm (pass all data),1000000,15,5,"[508, 525, 507, 499, 502, 494, 501, 502, 498, 504, 493, 516, 500, 502, 503]",503,501
2025-05-13T23:51:22.872506200+00:00,e1,wasm opt (pruned data),1000000,15,5,"[501, 503, 516, 499, 496, 490, 500, 487, 506, 506, 506, 495, 503, 502, 502]",500,499
2025-05-13T23:51:29.517496200+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),1000000,15,5,"[439, 434, 434, 442, 429, 437, 431, 432, 434, 434, 439, 431, 434, 445, 432]",435,434
2025-05-13T23:51:39.704829900+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),1000000,15,5,"[678, 671, 665, 675, 666, 674, 667, 670, 698, 668, 659, 666, 669, 662, 676]",670,670
2025-05-13T23:51:49.628311900+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),1000000,15,5,"[645, 649, 647, 641, 671, 658, 652, 650, 643, 678, 658, 644, 659, 649, 655]",653,654
2025-05-13T23:52:15.253545900+00:00,e2,io,10000,15,5,"[1599, 1589, 1608, 1592, 1586, 1589, 1585, 1593, 1575, 1567, 1582, 1588, 1574, 1571, 1577]",1585,1580
2025-05-14T00:22:13.794844200+00:00,e2,wasm opt2 dynamic reload,10000,15,5,"[81023, 98423, 102034, 107953, 110776, 112638, 116751, 122122, 122722, 127240, 135031, 138122, 140969, 138554, 144215]",119904,129836
2025-05-14T00:56:11.970620500+00:00,e2,wasm opt3 dynamic reload,10000,15,5,"[135789, 127876, 128307, 134451, 138744, 139654, 139138, 135845, 133678, 133320, 134844, 133573, 139365, 140012, 143599]",135879,137302

2025-05-14T13:21:24.337647600+00:00,e1,io,100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-14T13:21:24.345622100+00:00,e1,native opt,100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-14T13:21:24.520230700+00:00,e1,wasm (pass all data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-14T13:21:24.675483600+00:00,e1,wasm opt (pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-14T13:21:24.814361800+00:00,e1,wasm opt2 (pruned data + filter conditions in wasm),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-14T13:21:24.960795+00:00,e1,wasm opt3 (structured data + filter conditions in wasm + directly returns a not pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0
2025-05-14T13:21:25.108006300+00:00,e1,wasm opt4 (structured data + filter conditions in wasm + directly returns a pruned data),100,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-14T13:21:25.117816300+00:00,e1,io,1000,15,5,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-14T13:21:25.125867+00:00,e1,native opt,1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
2025-05-14T13:21:25.272681900+00:00,e1,wasm (pass all data),1000,15,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
